id,num_sold
230130,600
230131,916
230132,761
230133,289
230134,483
230135,234
230136,1367
230137,1138
230138,783
230139,913
230140,251
230141,1576
230142,1307
230143,872
230144,994
230145,92
230146,880
230147,706
230148,257
230149,398
230150,216
230151,1346
230152,1106
230153,756
230154,876
230155,242
230156,1549
230157,1273
230158,847
230159,953
230160,69
230161,628
230162,420
230163,213
230164,252
230165,164
230166,1053
230167,898
230168,482
230169,731
230170,194
230171,1211
230172,983
230173,658
230174,833
230175,597
230176,25
230177,18
230178,8
230179,10
230180,6
230181,43
230182,35
230183,20
230184,25
230185,6
230186,45
230187,40
230188,25
230189,29
230190,194
230191,1192
230192,994
230193,571
230194,766
230195,347
230196,2106
230197,1784
230198,1040
230199,1234
230200,468
230201,2336
230202,2009
230203,1167
230204,1420
230205,110
230206,1004
230207,848
230208,361
230209,505
230210,250
230211,1650
230212,1330
230213,845
230214,1011
230215,326
230216,1883
230217,1517
230218,961
230219,1156
230220,596
230221,746
230222,543
230223,237
230224,366
230225,218
230226,1201
230227,992
230228,565
230229,812
230230,233
230231,1342
230232,1103
230233,743
230234,893
230235,74
230236,709
230237,503
230238,223
230239,317
230240,181
230241,1171
230242,964
230243,533
230244,781
230245,213
230246,1319
230247,1080
230248,715
230249,868
230250,65
230251,438
230252,332
230253,176
230254,226
230255,140
230256,929
230257,798
230258,348
230259,490
230260,158
230261,1020
230262,883
230263,443
230264,700
230265,598
230266,18
230267,14
230268,6
230269,8
230270,6
230271,37
230272,29
230273,16
230274,20
230275,6
230276,42
230277,34
230278,19
230279,25
230280,167
230281,1035
230282,895
230283,414
230284,664
230285,290
230286,1838
230287,1457
230288,919
230289,1053
230290,349
230291,2071
230292,1716
230293,1015
230294,1217
230295,91
230296,866
230297,677
230298,256
230299,412
230300,219
230301,1397
230302,1151
230303,679
230304,886
230305,247
230306,1601
230307,1296
230308,823
230309,980
230310,597
230311,743
230312,531
230313,237
230314,354
230315,215
230316,1198
230317,977
230318,559
230319,801
230320,229
230321,1346
230322,1097
230323,741
230324,884
230325,74
230326,699
230327,488
230328,223
230329,307
230330,178
230331,1168
230332,953
230333,523
230334,765
230335,209
230336,1323
230337,1074
230338,705
230339,859
230340,65
230341,429
230342,331
230343,178
230344,224
230345,140
230346,927
230347,785
230348,352
230349,483
230350,157
230351,1018
230352,881
230353,435
230354,681
230355,598
230356,18
230357,14
230358,7
230359,8
230360,6
230361,36
230362,28
230363,16
230364,20
230365,6
230366,41
230367,34
230368,19
230369,24
230370,165
230371,1035
230372,883
230373,409
230374,656
230375,281
230376,1853
230377,1470
230378,919
230379,1049
